symbol,source_list,first_seen_timestamp,time_bucket,first_seen_price,pct_change_at_first_seen,in_experiment_bracket,price_bucket,closed,closed_at,peak_price_reached,pct_of_target_reached_if_not_closed
ZBAO,under120,20260724T1337Z,morning,0.2314,-0.08247422680412365,False,<1,False,,0.2358,0.9949
STXU,under120,20260724T1337Z,morning,14.25,-0.08123791102514505,False,10-120,False,,14.57,1.0021
KEEX,under120,20260724T1337Z,morning,64.96,-0.08116602520852707,False,10-120,False,,64.96,0.9804
LBGJ,under120,20260724T1337Z,morning,0.0287,-0.0801282051282051,False,<1,False,,0.0318,0.9938
BEG,under120,20260724T1337Z,morning,36.0126,-0.08004628813598284,False,10-120,False,,36.75,1.0003
IQSZ,under120,20260724T1337Z,morning,28.7,-0.07991292834541414,False,10-120,False,,28.7,0.9802
ZYBT,under120,20260724T1337Z,morning,1.6565,-0.0797222222222222,False,1-3,True,2026-07-24T13:40:00Z,1.84,
HOOX,under120,20260724T1337Z,morning,30.825,-0.07937531919468865,False,10-120,False,,30.88,0.9819
SLGB,under120,20260724T1337Z,morning,0.7551,-0.07892168821663818,False,<1,True,2026-07-24T13:40:00Z,0.7974,
NBIC,under120,20260724T1337Z,morning,23.8,-0.07889033376679667,False,10-120,False,,22.575,0.9298
APLX,under120,20260724T1337Z,morning,11.46,-0.07803700724054698,False,10-120,False,,11.86,1.0145
SNXX,under120,20260724T1337Z,morning,16.9,-0.07751091703056778,False,10-120,False,,17.47,1.0133
PSTR,under120,20260724T1337Z,morning,28.11,-0.07704733949291787,False,10-120,True,2026-07-24T16:15:00Z,30.61,
RGTC,under120,20260724T1337Z,morning,21.11,-0.07569169873942037,False,10-120,False,,21.11,0.98
AAOG,under120,20260724T1337Z,morning,3.3,-0.07563025210084034,False,3-10,False,,3.39,1.0059
PSCW,under120,20260724T1337Z,morning,27.74,-0.07533333333333339,False,10-120,False,,27.74,0.9802
MRVX,under120,20260724T1337Z,morning,20.62,-0.07464749544503978,False,10-120,False,,21.0596,1.0009
OUSL,under120,20260724T1337Z,morning,15.5,-0.0746213410229315,False,10-120,False,,15.585,0.9858
OPTT,under120,20260724T1337Z,morning,0.17,-0.0745781164942841,False,<1,False,,0.1712,0.9839
COHH,under120,20260724T1337Z,morning,7.79,-0.0737217598097503,False,3-10,False,,8.07,1.0151
ZNB,under120,20260724T1337Z,morning,0.253,-0.07326007326007332,False,<1,True,2026-07-24T15:05:00Z,0.2699,
RELL,under120,20260724T1337Z,morning,20.23,-0.07286892758936754,False,10-120,False,,20.26,0.9816
IRE,under120,20260724T1337Z,morning,10.97,-0.071912013536379,False,10-120,False,,11.375,1.0165
AIQD,under120,20260724T1337Z,morning,69.9201,-0.0714819747977832,False,10-120,False,,69.9201,0.9804
FBGL,under120,20260724T1337Z,morning,0.5107,-0.07145454545454545,False,<1,True,2026-07-24T14:30:00Z,0.5388,
IREX,under120,20260724T1337Z,morning,15.49,-0.0713429256594724,False,10-120,False,,16.047,1.0156
MUU,under120,20260724T1337Z,morning,33.8905,-0.07123869553302271,False,10-120,False,,34.76,1.0055
KSCP,under120,20260724T1337Z,morning,1.58,-0.07058823529411758,False,1-3,False,,1.62,1.0
UCAR,under120,20260724T1337Z,morning,0.93,-0.06999999999999995,False,<1,True,2026-07-24T19:20:00Z,0.9643,
MULL,under120,20260724T1337Z,morning,23.67,-0.06994106090373271,False,10-120,False,,24.1655,1.0006
CYCU,under120,20260724T1337Z,morning,0.3339,-0.06991643454039001,False,<1,True,2026-07-24T13:35:00Z,0.3593,
TLSA,under120,20260724T1337Z,morning,0.95,-0.06862745098039222,False,<1,True,2026-07-24T13:50:00Z,1.0078,
YMAT,under120,20260724T1337Z,morning,1.82,-0.06666666666666661,False,1-3,True,2026-07-24T13:45:00Z,2.0,
