symbol,source_list,first_seen_timestamp,time_bucket,first_seen_price,pct_change_at_first_seen,in_experiment_bracket,decline_bucket,price_bucket,simulated,closed,closed_at,decay_close_roi_pct,peak_price_reached,pct_of_target_reached_if_not_closed,liquidation_triggered,liquidation_exit_price,liquidation_roi_pct,eod_sell_price,eod_sell_roi_pct
SAFX,under120,2026-08-13T14:53Z,morning,0.4474,-0.08018092105263154,false,shallow_outside,<1,true,true,2026-08-13T14:55:00Z,5.0514081358962795,,,false,,,0.4509,0.7822977201609304
SAIH,under120,2026-08-13T14:53Z,morning,19.0,-0.14740091901206206,false,other_price_or_range,10-120,false,,,,,,,,,,
SBEV,under120,2026-08-13T19:37Z,afternoon,0.3844,-0.0615234375,false,shallow_outside,<1,true,false,,,0.3889,98.95674300254453,,,,0.3828,-0.4162330905307091
SBS,under120,2026-08-13T14:53Z,morning,4.68,-0.08235294117647057,false,shallow_outside,3-10,true,false,,,4.73,98.9539748953975,false,,,4.7,0.42735042735043727
SCKT,under120,2026-08-13T15:54Z,morning,1.4698,-0.098282208588957,false,shallow_outside,1-3,true,false,,,1.4698,97.98666666666666,false,,,1.3659,-7.068988978092265
SCNI,under120,2026-08-13T13:38Z,morning,0.2308,-0.06558704453441293,false,shallow_outside,<1,true,true,2026-08-13T14:15:00Z,5.285961871750429,,,false,,,0.2418,4.766031195840547
SCNX,under120,2026-08-13T13:38Z,morning,0.4192,-0.06844444444444443,false,shallow_outside,<1,true,true,2026-08-13T13:45:00Z,5.200381679389309,,,false,,,0.4575,9.13645038167939
SCOR,under120,2026-08-13T13:38Z,morning,6.27,-0.12674094707520894,true,in_bracket,3-10,true,false,,,6.3122,98.62812499999998,false,,,6.02,-3.9872408293460926
SCTX,under120,2026-08-13T19:37Z,afternoon,20.36,-0.11516731855714915,false,other_price_or_range,10-120,false,,,,,,,,,,
SDOT,under120,2026-08-13T15:54Z,morning,11.03,-0.05077452667814113,false,other_price_or_range,10-120,false,,,,,,,,,,
SECZ,under120,2026-08-13T13:38Z,morning,6.355,-0.19147582697201015,true,in_bracket,3-10,true,false,,,6.42,98.92141756548536,false,,,5.67,-10.778914240755318
SENEB,120to500,2026-08-13T13:38Z,morning,167.5,-0.11702688455455978,false,other_price_or_range,120-500,false,,,,,,,,,,
SFHG,under120,2026-08-13T13:38Z,morning,2.23,-0.059071729957805956,false,shallow_outside,1-3,true,true,2026-08-13T17:30:00Z,4.035874439461877,,,true,2.1401,-4.031390134529152,2.3501,5.385650224215241
SFWL,under120,2026-08-13T14:53Z,morning,0.83,-0.0628881110985662,false,shallow_outside,<1,true,true,2026-08-13T18:10:00Z,4.096385542168679,,,false,,,0.8857,6.7108433734939865
SGLY,under120,2026-08-13T15:54Z,morning,5.875,-0.07915360501567396,false,shallow_outside,3-10,true,false,,,6.0,100.0,false,,,5.48,-6.723404255319141
SHIM,under120,2026-08-13T19:37Z,afternoon,3.78,-0.0620347394540944,false,shallow_outside,3-10,true,false,,,3.78,97.92746113989637,,,,3.74,-1.0582010582010475
SHUS,under120,2026-08-13T13:38Z,morning,45.5,-0.1299359403384645,false,other_price_or_range,10-120,false,,,,,,,,,,
SILO,under120,2026-08-13T15:54Z,morning,2.91,-0.05977382875605817,false,shallow_outside,1-3,true,true,2026-08-13T16:15:00Z,5.154639175257729,,,false,,,3.28,12.714776632302394
SKIL,under120,2026-08-13T15:54Z,morning,8.285,-0.05637813211845094,false,shallow_outside,3-10,true,true,2026-08-13T18:40:00Z,3.0778515389257572,,,false,,,8.78,5.974652987326484
SKYA,under120,2026-08-13T19:37Z,afternoon,1.015,-0.09375000000000017,false,shallow_outside,1-3,true,false,,,1.02,98.07692307692307,,,,1.0,-1.4778325123152616
SKYH,under120,2026-08-13T13:38Z,morning,10.6924,-0.06941688424717153,false,other_price_or_range,10-120,false,,,,,,,,,,
SKYQ,under120,2026-08-13T13:38Z,morning,3.245,-0.053935860058309054,false,shallow_outside,3-10,true,true,2026-08-13T14:05:00Z,5.084745762711865,,,false,,,2.72,-16.178736517719567
SKYX,under120,2026-08-13T14:53Z,morning,1.135,-0.06198347107438013,false,shallow_outside,1-3,true,false,,,1.15,99.13793103448276,false,,,1.105,-2.643171806167403
SLND,under120,2026-08-13T13:38Z,morning,0.6508,-0.08079096045197728,false,shallow_outside,<1,true,false,,,0.6508,98.01204819277109,true,0.5992,-7.928703134603578,0.553,-15.027658266748617
SLNH,under120,2026-08-13T15:54Z,morning,1.267,-0.061481481481481616,false,shallow_outside,1-3,true,true,2026-08-13T19:05:00Z,3.39384372533545,,,false,,,1.295,2.2099447513812174
SMCZ,under120,2026-08-13T13:38Z,morning,2.99,-0.10746268656716414,true,in_bracket,1-3,true,true,2026-08-13T19:45:00Z,2.006688963210689,,,false,,,3.0794,2.9899665551839436
SMMT,under120,2026-08-13T19:37Z,afternoon,14.26,-0.05562913907284767,false,other_price_or_range,10-120,false,,,,,,,,,,
SMRX,under120,2026-08-13T13:38Z,morning,20.57,-0.2072056794443888,false,other_price_or_range,10-120,false,,,,,,,,,,
SMTC,120to500,2026-08-13T19:37Z,afternoon,132.21,-0.055642857142857084,false,other_price_or_range,120-500,false,,,,,,,,,,
SMTK,under120,2026-08-13T13:38Z,morning,0.124,-0.0527119938884644,false,shallow_outside,<1,true,false,,,0.124,97.63779527559055,false,,,0.109,-12.096774193548386
SNWV,under120,2026-08-13T19:37Z,afternoon,4.955,-0.07728119180633147,false,shallow_outside,3-10,true,false,,,5.01,99.01185770750989,,,,4.775,-3.6326942482341007
SNYR,under120,2026-08-13T13:38Z,morning,0.1197,-0.10604929051530987,true,in_bracket,<1,true,true,2026-08-13T13:55:00Z,5.263157894736842,,,false,,,0.1097,-8.354218880534665
SOC,under120,2026-08-13T14:53Z,morning,3.96,-0.09589041095890409,false,shallow_outside,3-10,true,true,2026-08-13T18:30:00Z,3.030303030303033,,,false,,,4.025,1.6414141414141512
SORA,under120,2026-08-13T15:54Z,morning,2.55,-0.09893992932862199,false,shallow_outside,1-3,true,true,2026-08-13T16:00:00Z,5.098039215686288,,,false,,,2.9199,14.50588235294119
SPCE,under120,2026-08-13T13:38Z,morning,3.125,-0.053030303030302976,false,shallow_outside,3-10,true,false,,,3.24,101.56739811912227,false,,,3.135,0.3199999999999932
SPIR,under120,2026-08-13T15:54Z,morning,13.925,-0.05529172320217093,false,other_price_or_range,10-120,false,,,,,,,,,,
SPPL,under120,2026-08-13T14:53Z,morning,2.235,-0.07261410788381753,false,shallow_outside,1-3,true,true,2026-08-13T16:10:00Z,5.145413870246094,,,false,,,2.42,8.277404921700226
SPRU,under120,2026-08-13T14:53Z,morning,1.99,-0.06132075471698118,false,shallow_outside,1-3,true,false,,,1.99,98.02955665024632,true,1.975,-0.7537688442211007,1.825,-8.291457286432163
SRXH,under120,2026-08-13T14:53Z,morning,1.715,-0.06793478260869565,false,shallow_outside,1-3,true,true,2026-08-13T19:45:00Z,2.0408163265306074,,,false,,,1.82,6.1224489795918355
SSMG,under120,2026-08-13T13:38Z,morning,25.37,-0.08562078311516055,false,other_price_or_range,10-120,false,,,,,,,,,,
SSMR,under120,2026-08-13T14:53Z,morning,16.16,-0.06589595375722547,false,other_price_or_range,10-120,false,,,,,,,,,,
