entry_date,entry_timestamp,symbol,firing,skip_reason,guardrail_detail,fundamentals_guardrails_failed,entry_price,status,exit_date,exit_timestamp,exit_price,exit_reason,roi_pct,sessions_held,peak_pct,max_drawdown_pct
2026-08-26,2026-08-26T13:30:02Z,ROMA,9:30,a1_spread,spread_pct=0.1259,,8.18,closed,2026-08-26,2026-08-26T14:40:00Z,8.59,paper_target,5.0122,0,11.5416,0.0
2026-08-26,2026-08-26T13:40:05Z,OFAL,9:30,a5_compliance,indicator=CC4;description=Noncompliant,a5;a6,0.9401,closed,2026-08-26,2026-08-26T18:05:00Z,0.978,paper_target,4.0315,0,6.2653,-1.9892
2026-08-26,2026-08-26T13:40:10Z,FNGR,9:30,a5_compliance,indicator=CC4;description=Noncompliant,a5,0.1532,closed,2026-08-26,2026-08-26T14:10:00Z,0.161,paper_target,5.0914,0,6.201,-0.9791
2026-08-26,2026-08-26T13:40:15Z,BTCT,9:30,a3_prior_spike,peak_to_baseline_ratio=4.83;peak=2.75;baseline=0.5695,,1.735,closed,2026-08-26,2026-08-26T14:10:00Z,1.83,paper_target,5.4755,0,6.0519,-3.17
2026-08-26,2026-08-26T13:36:39Z,MBAI,9:30,a7_stale_quote_gap,ask_gap_pct=0.0478;last_real_price=7.005;ask=7.34,,7.005,open,,,,,,1,4.9236,-6.4954
2026-08-26,2026-08-26T14:45:00Z,JZ,10:30,a1_spread,spread_pct=0.1029,,1.75,closed,2026-08-26,2026-08-26T15:40:00Z,1.84,paper_target,5.1429,0,7.7143,-0.5714
2026-08-26,2026-08-26T14:45:00Z,GIPR,10:30,a1_spread,spread_pct=0.1153,,0.477,closed,2026-08-26,2026-08-26T18:20:00Z,0.497,paper_target,4.1929,0,4.2977,-15.8071
2026-08-26,2026-08-26T14:45:00Z,EXOD,10:30,a3_prior_spike,peak_to_baseline_ratio=1.9000;volume_spike_ratio=15.14,,8.5529,closed,2026-08-27,2026-08-27T20:00:00Z,9.31,paper_target,8.852,1,11.0734,-6.8152
2026-08-26,2026-08-26T14:45:00Z,QFIN,10:30,a4_earnings_recency,days_since_earnings=1;report_date=2026-08-25,,9.935,closed,2026-08-26,2026-08-26T15:45:00Z,9.58,paper_auto_liquidate_60min,-3.5732,0,0.0,-4.1268
2026-08-26,2026-08-26T14:45:00Z,AEHG,10:30,a8_leveraged_etf,industry=Investment Trusts Or Mutual Funds;description_marker=2x_leveraged_exposure,a8,8.1217,closed,2026-08-27,2026-08-27T20:00:00Z,9.11,paper_target,12.1686,1,14.3849,-1.56
2026-08-27,2026-08-27T13:40:00Z,SKK,9:30,a1_spread,spread_pct=0.1617;bid=4.05;ask=4.70;last=4.02,,4.02,closed,2026-08-27,2026-08-27T13:50:00Z,4.41,paper_target,9.701492537313449,0,11.6915,0.0
2026-08-27,2026-08-27T13:40:00Z,RPGL,9:30,a1_spread,spread_pct=0.0846;bid=1.92;ask=2.09;last=2.0101,,2.0101,closed,2026-08-27,2026-08-27T13:45:00Z,2.16,paper_target,7.457340430824344,0,9.4423,0.0
2026-08-27,2026-08-27T13:40:00Z,HCWC,9:30,a1_spread,spread_pct=0.0815;bid=0.265;ask=0.2868;last=0.2676,,0.2676,closed,2026-08-27,2026-08-27T13:40:00Z,0.281,paper_target,5.007473841554567,0,6.7638,0.0
2026-08-27,2026-08-27T13:40:00Z,CISS,9:30,a2_atr,atr14_pct=1.0535;atr3_pct=0.1769;atr14=2.5734;atr3=0.4321;price=2.4427,a6,2.4427,closed,2026-08-27,2026-08-27T14:00:00Z,2.61,paper_target,6.848978589265976,0,8.8918,-0.9293
2026-08-27,2026-08-27T13:40:00Z,OMH,9:30,a2_atr,atr14_pct=0.9440;atr3_pct=0.6002;atr14=0.07901;atr3=0.05023;price=0.0837,a5;a6,0.0837,open,,,,,,0,2.0311,-10.1553
2026-08-27,2026-08-27T13:40:00Z,CRE,9:30,a3_prior_spike,peak_to_baseline_ratio=3.245;volume_spike_ratio=3060.45;baseline_price=2.65;peak_price=8.60,,5.395,closed,2026-08-27,2026-08-27T13:55:00Z,5.67,paper_target,5.097312326227995,0,5.0973,-1.203
