symbol,source_list,first_seen_timestamp,time_bucket,first_seen_price,pct_change_at_first_seen,in_experiment_bracket,price_bucket,closed,closed_at,peak_price_reached,pct_of_target_reached_if_not_closed
VOR,under120,20260722T1637Z,morning,19.0,-0.0523690773067332,False,10-120,True,2026-07-22T19:25:00Z,19.5739,
VRAX,under120,20260722T1937Z,afternoon,3.66,-0.05670103092783499,False,3-10,False,,3.66,97.86
VRM,under120,20260722T1637Z,morning,7.31,-0.05064935064935072,False,3-10,False,,7.37,97.88
VRTL,under120,20260722T1336Z,morning,39.63,-0.055303933253873665,False,10-120,True,2026-07-22T18:35:00Z,41.29,
VSEE,under120,20260722T1637Z,morning,0.0817,-0.09723756906077351,False,<1,False,,0.0818,97.38
VTAK,under120,20260722T1336Z,morning,0.4096,-0.1706823243571573,True,<1,False,,0.4096,97.99
WATT,under120,20260722T1937Z,afternoon,15.57,-0.058645707376057975,False,10-120,False,,15.57,97.99
WBTN,under120,20260722T1637Z,morning,9.515,-0.08067632850241538,False,3-10,False,,9.63,99.18
WBX,under120,20260722T1637Z,morning,3.79,-0.0800970873786408,False,3-10,False,,3.81,98.45
WDAY,120to500,20260722T1937Z,afternoon,132.44,-0.06184033434865758,False,120-500,False,,132.8,98.3
WEAV,under120,20260722T1637Z,morning,6.165,-0.09338235294117644,False,3-10,False,,6.225,98.97
WETO,under120,20260722T1336Z,morning,0.1499,-0.8126249999999999,False,<1,True,2026-07-22T13:35:00Z,0.1669,
WFF,under120,20260722T1336Z,morning,2.26,-0.05439330543933068,False,1-3,False,,2.33,100.87
WIX,under120,20260722T1937Z,afternoon,48.52,-0.050860719874804276,False,10-120,False,,48.78,98.55
WK,under120,20260722T1637Z,morning,51.99,-0.05403930131004365,False,10-120,False,,52.25,98.53
WKSP,under120,20260722T1637Z,morning,0.6199,-0.0666967780788919,False,<1,False,,0.63,99.53
WNW,under120,20260722T1336Z,morning,2.48,-0.07462686567164185,False,1-3,True,2026-07-22T14:30:00Z,2.6494,
WOLF,under120,20260722T1937Z,afternoon,29.66,-0.06523794516230698,False,10-120,False,,29.76,98.35
WYHG,under120,20260722T1637Z,morning,3.51,-0.06149732620320867,False,3-10,False,,3.51,96.96
WYY,under120,20260722T1637Z,morning,11.0987,-0.08502061005770829,False,10-120,True,2026-07-22T19:30:00Z,11.395,
XCH,under120,20260722T1336Z,morning,0.5601,-0.08255528255528255,False,<1,True,2026-07-22T13:45:00Z,0.6101,
XCUR,under120,20260722T1637Z,morning,1.82,-0.05699481865284968,False,1-3,False,,1.82,97.85
XMTR,under120,20260722T1937Z,afternoon,98.95,-0.056270863137815846,False,10-120,False,,99.565,98.65
XTLB,under120,20260722T1336Z,morning,2.7,-0.07534246575342457,False,1-3,False,,2.745,96.65
XXII,under120,20260722T1937Z,afternoon,4.1987,-0.0690037473114704,False,3-10,False,,4.265,99.42
YAAS,under120,20260722T1336Z,morning,0.7512,-0.07098689092258224,False,<1,False,,0.7841,101.96
YDES,under120,20260722T1637Z,morning,2.155,-0.050660792951541946,False,1-3,True,2026-07-22T19:50:00Z,2.225,
YDKG,under120,20260722T1336Z,morning,0.9777,-0.06885714285714288,False,<1,False,,1.0,100.0
YMAT,under120,20260722T1937Z,afternoon,2.17,-0.05652173913043474,False,1-3,False,,2.17,97.75
YMT,under120,20260722T1637Z,morning,0.445,-0.06728149234961227,False,<1,True,2026-07-22T17:25:00Z,0.484,
YOU,under120,20260722T1937Z,afternoon,52.855,-0.07108963093145873,False,10-120,False,,52.9299,98.16
YOUL,under120,20260722T1336Z,morning,0.56,-0.08106334099113882,False,<1,True,2026-07-22T16:25:00Z,0.5938,
YSXT,under120,20260722T1336Z,morning,0.7913,-0.06188500296384117,False,<1,True,2026-07-22T18:05:00Z,0.83,
YXT,under120,20260722T1336Z,morning,2.79,-0.13622291021671826,False,1-3,True,2026-07-22T13:45:00Z,3.23,
ZBAO,under120,20260722T1336Z,morning,0.1629,-0.10000000000000003,False,<1,True,2026-07-22T13:40:00Z,0.1753,
ZETA,under120,20260722T1937Z,afternoon,20.04,-0.05427088249174149,False,10-120,False,,20.19,98.73
ZNB,under120,20260722T1336Z,morning,0.33,-0.12140575079872198,False,<1,False,,0.3335,98.96
ZNTL,under120,20260722T1637Z,morning,4.515,-0.09880239520958087,False,3-10,False,,4.56,98.92
ZSQR,under120,20260722T1937Z,afternoon,4.95,-0.07129455909943713,False,3-10,True,2026-07-22T19:50:00Z,5.05,
ZYBT,under120,20260722T1336Z,morning,2.06,-0.2771929824561404,False,1-3,True,2026-07-22T13:35:00Z,2.17,
